,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_id[400],-2.58,0.9,-4.26,-0.87,0.02,0.01,2440.0,7259.0,1.01
beta_id[401],-0.86,0.81,-2.42,0.63,0.02,0.01,2896.0,8499.0,1.01
beta_id[402],-6.62,1.07,-8.55,-4.56,0.03,0.02,1628.0,5270.0,1.01
beta_id[403],-0.41,0.83,-1.94,1.16,0.02,0.01,2659.0,8321.0,1.01
beta_id[404],-2.21,0.83,-3.75,-0.63,0.02,0.01,3191.0,10116.0,1.01
beta_id[405],-1.18,0.78,-2.68,0.27,0.01,0.01,3686.0,11244.0,1.0
beta_id[406],1.49,0.8,-0.02,2.98,0.02,0.01,2892.0,9123.0,1.01
beta_id[407],-0.2,0.82,-1.76,1.35,0.02,0.01,2671.0,7827.0,1.01
beta_id[408],-1.9,0.82,-3.44,-0.35,0.02,0.01,3215.0,10437.0,1.0
beta_id[409],-0.89,0.79,-2.38,0.6,0.01,0.01,3127.0,9613.0,1.01
beta_id[410],2.15,0.8,0.62,3.64,0.01,0.01,3520.0,11426.0,1.0
beta_id[411],-1.79,0.79,-3.25,-0.3,0.01,0.01,3269.0,10328.0,1.01
beta_id[412],0.36,0.8,-1.12,1.89,0.02,0.01,3032.0,10433.0,1.01
beta_id[413],0.17,0.8,-1.33,1.68,0.02,0.01,2983.0,8828.0,1.01
beta_id[414],-0.11,0.82,-1.66,1.42,0.01,0.01,3221.0,11237.0,1.0
beta_id[415],-2.59,1.16,-4.78,-0.39,0.03,0.02,1633.0,3166.0,1.01
beta_id[416],-1.07,0.8,-2.59,0.41,0.02,0.01,3008.0,9061.0,1.01
beta_id[417],0.13,0.82,-1.42,1.64,0.02,0.01,2801.0,8458.0,1.01
beta_id[418],-6.42,1.14,-8.55,-4.28,0.03,0.02,1704.0,3027.0,1.01
beta_id[419],-0.75,0.81,-2.3,0.74,0.02,0.01,2814.0,9156.0,1.01
beta_id[420],5.47,0.79,3.95,6.94,0.01,0.01,3194.0,10285.0,1.01
beta_id[421],0.4,0.79,-1.07,1.91,0.01,0.01,3208.0,9322.0,1.01
beta_id[422],0.99,1.02,-0.95,2.88,0.03,0.02,1583.0,6094.0,1.0
beta_id[423],-0.61,0.82,-2.15,0.92,0.02,0.01,2831.0,8754.0,1.01
beta_id[424],-2.51,1.05,-4.47,-0.54,0.03,0.02,1655.0,5111.0,1.01
beta_id[425],-1.44,1.05,-3.43,0.53,0.03,0.02,1645.0,4972.0,1.01
beta_id[426],-0.29,0.82,-1.83,1.25,0.02,0.01,2799.0,8667.0,1.01
beta_id[427],0.55,1.03,-1.37,2.52,0.02,0.02,1648.0,5428.0,1.01
beta_id[428],2.47,0.8,0.95,3.94,0.01,0.01,3387.0,11620.0,1.0
beta_id[429],1.56,0.81,0.04,3.07,0.02,0.01,2886.0,9235.0,1.01
beta_id[430],1.4,0.79,-0.13,2.85,0.01,0.01,3390.0,10050.0,1.0
beta_id[431],-0.65,0.79,-2.14,0.84,0.01,0.01,3244.0,10626.0,1.0
beta_id[432],-0.71,0.8,-2.21,0.81,0.02,0.01,2987.0,9523.0,1.01
beta_id[433],0.31,0.79,-1.17,1.8,0.01,0.01,3373.0,10575.0,1.0
beta_id[434],-0.25,1.02,-2.18,1.66,0.02,0.02,1644.0,6051.0,1.01
beta_id[435],-0.88,0.79,-2.4,0.56,0.01,0.01,3310.0,10174.0,1.01
beta_id[436],-1.13,0.81,-2.66,0.39,0.02,0.01,2870.0,9346.0,1.01
beta_id[437],-3.19,0.9,-4.87,-1.49,0.02,0.01,2497.0,6499.0,1.01
beta_id[438],1.08,0.81,-0.47,2.58,0.02,0.01,2813.0,8620.0,1.01
beta_id[439],-0.95,0.78,-2.44,0.52,0.01,0.01,3643.0,10302.0,1.0
beta_id[440],1.17,0.8,-0.34,2.68,0.01,0.01,3370.0,10788.0,1.0
beta_id[441],1.8,0.78,0.31,3.26,0.01,0.01,3722.0,11842.0,1.0
beta_id[442],1.82,1.02,-0.09,3.75,0.02,0.02,1662.0,6662.0,1.01
beta_id[443],1.69,0.81,0.2,3.26,0.02,0.01,2874.0,8857.0,1.01
beta_id[444],-0.88,0.81,-2.38,0.67,0.02,0.01,3072.0,9837.0,1.01
beta_id[445],-0.31,0.79,-1.79,1.15,0.01,0.01,3608.0,11753.0,1.0
beta_id[446],-0.6,0.81,-2.1,0.94,0.02,0.01,2832.0,8597.0,1.01
beta_id[447],1.38,0.82,-0.16,2.92,0.02,0.01,2739.0,8982.0,1.01
beta_id[448],-4.37,1.03,-6.3,-2.44,0.03,0.02,1585.0,6119.0,1.01
beta_id[449],-1.31,1.06,-3.31,0.66,0.03,0.02,1451.0,5845.0,1.01
beta_id[450],-0.16,0.79,-1.67,1.31,0.01,0.01,3323.0,11007.0,1.01
beta_id[451],0.85,0.81,-0.69,2.34,0.02,0.01,2868.0,8767.0,1.01
beta_id[452],-1.01,0.79,-2.5,0.48,0.01,0.01,3319.0,10636.0,1.0
beta_id[453],-2.33,1.05,-4.32,-0.39,0.03,0.02,1653.0,5505.0,1.01
beta_id[454],-0.81,0.82,-2.37,0.72,0.02,0.01,2791.0,8812.0,1.01
beta_id[455],-0.57,0.8,-2.06,0.93,0.01,0.01,3187.0,9542.0,1.01
beta_id[456],-0.45,0.82,-1.99,1.08,0.02,0.01,2858.0,8845.0,1.01
beta_id[457],-0.03,0.82,-1.56,1.49,0.02,0.01,2755.0,8338.0,1.01
beta_id[458],-0.61,0.81,-2.12,0.91,0.02,0.01,2959.0,8480.0,1.01
beta_id[459],-0.91,0.79,-2.41,0.56,0.01,0.01,3498.0,11375.0,1.0
beta_id[460],13.97,1.04,12.05,15.94,0.03,0.02,1520.0,6255.0,1.01
beta_id[461],-0.33,0.79,-1.82,1.14,0.01,0.01,3290.0,10380.0,1.01
beta_id[462],2.68,0.79,1.21,4.19,0.01,0.01,3441.0,11298.0,1.0
beta_id[463],-0.37,0.83,-1.92,1.17,0.02,0.01,2589.0,8355.0,1.01
beta_id[464],-1.26,0.79,-2.73,0.24,0.01,0.01,3449.0,11418.0,1.01
beta_id[465],2.25,0.8,0.8,3.79,0.01,0.01,3515.0,12944.0,1.0
beta_id[466],0.65,0.82,-0.87,2.2,0.02,0.01,2705.0,9448.0,1.01
beta_id[467],-0.31,0.83,-1.87,1.25,0.02,0.01,2612.0,8035.0,1.01
beta_id[468],-1.26,1.02,-3.15,0.69,0.02,0.02,1634.0,6050.0,1.01
beta_id[469],-0.27,0.8,-1.79,1.21,0.01,0.01,3061.0,9607.0,1.01
beta_id[470],3.11,0.83,1.58,4.69,0.02,0.01,2588.0,8638.0,1.01
beta_id[471],-0.91,0.79,-2.37,0.59,0.01,0.01,3395.0,11416.0,1.01
beta_id[472],-1.11,0.79,-2.58,0.38,0.01,0.01,3271.0,9684.0,1.0
beta_id[473],3.0,0.82,1.5,4.58,0.02,0.01,3182.0,10834.0,1.0
beta_id[474],0.93,0.82,-0.63,2.46,0.02,0.01,2722.0,8255.0,1.01
beta_id[475],-0.38,0.8,-1.84,1.14,0.01,0.01,3233.0,9882.0,1.01
beta_id[476],-0.39,0.82,-1.92,1.16,0.02,0.01,2746.0,8471.0,1.01
beta_id[477],-0.06,0.82,-1.57,1.53,0.02,0.01,2629.0,7869.0,1.01
beta_id[478],-2.55,0.8,-4.03,-1.02,0.01,0.01,3645.0,11208.0,1.0
beta_id[479],-0.02,0.8,-1.52,1.48,0.02,0.01,2955.0,8162.0,1.01
beta_id[480],0.77,0.78,-0.67,2.25,0.01,0.01,3332.0,10922.0,1.01
beta_id[481],-0.85,0.81,-2.35,0.68,0.02,0.01,2897.0,8540.0,1.01
beta_id[482],1.24,0.82,-0.32,2.77,0.02,0.01,2652.0,8566.0,1.01
beta_id[483],-1.09,0.8,-2.56,0.45,0.01,0.01,3187.0,9591.0,1.01
beta_id[484],0.67,0.79,-0.8,2.16,0.01,0.01,3469.0,10244.0,1.0
beta_id[485],0.77,0.82,-0.8,2.29,0.02,0.01,2616.0,8209.0,1.01
beta_id[486],1.47,0.82,-0.02,3.07,0.02,0.01,2727.0,7988.0,1.01
beta_id[487],-1.21,0.81,-2.69,0.36,0.02,0.01,2935.0,8656.0,1.01
beta_id[488],-1.0,0.81,-2.52,0.51,0.02,0.01,2997.0,9214.0,1.01
beta_id[489],-0.74,0.82,-2.27,0.82,0.02,0.01,2619.0,7654.0,1.01
beta_id[490],-5.54,1.06,-7.49,-3.53,0.03,0.02,1649.0,5164.0,1.01
beta_id[491],-0.75,0.82,-2.25,0.84,0.02,0.01,2692.0,8414.0,1.01
