,mean,sd,hdi_3%,hdi_97%,mcse_mean,mcse_sd,ess_bulk,ess_tail,r_hat
beta_id[619],5.71,1.04,3.77,7.67,0.03,0.02,1631.0,5572.0,1.01
beta_id[620],-0.42,0.82,-1.96,1.12,0.02,0.01,2738.0,8509.0,1.01
beta_id[621],35.28,1.24,32.9,37.54,0.03,0.02,1307.0,4830.0,1.01
beta_id[622],1.12,0.79,-0.38,2.6,0.01,0.01,3574.0,12139.0,1.0
beta_id[623],0.26,0.79,-1.24,1.73,0.01,0.01,3624.0,12194.0,1.0
beta_id[624],-0.88,1.03,-2.82,1.06,0.03,0.02,1629.0,5681.0,1.01
beta_id[625],0.06,0.82,-1.5,1.58,0.01,0.01,3363.0,11453.0,1.0
beta_id[626],1.57,0.79,0.05,3.01,0.01,0.01,3406.0,11210.0,1.01
beta_id[627],2.69,0.81,1.2,4.24,0.01,0.01,3498.0,11352.0,1.0
beta_id[628],-2.46,1.06,-4.45,-0.47,0.03,0.02,1645.0,5247.0,1.01
beta_id[629],-1.15,0.79,-2.65,0.32,0.01,0.01,3395.0,10643.0,1.01
beta_id[630],1.74,0.78,0.28,3.22,0.01,0.01,3445.0,10098.0,1.0
beta_id[631],1.34,0.82,-0.18,2.88,0.02,0.01,2725.0,8177.0,1.01
beta_id[632],1.08,0.81,-0.43,2.6,0.02,0.01,2878.0,9982.0,1.01
beta_id[633],-8.44,1.02,-10.34,-6.51,0.03,0.02,1561.0,5598.0,1.01
beta_id[634],1.49,0.86,-0.16,3.08,0.02,0.01,2839.0,8679.0,1.01
beta_id[635],-1.13,0.99,-2.97,0.76,0.02,0.02,2067.0,4781.0,1.01
beta_id[636],3.02,1.03,1.09,4.98,0.03,0.02,1630.0,5409.0,1.01
beta_id[637],-2.19,0.89,-3.89,-0.55,0.02,0.01,2514.0,7079.0,1.01
beta_id[638],-1.62,0.79,-3.1,-0.13,0.01,0.01,3499.0,11388.0,1.0
beta_id[639],6.61,1.06,4.61,8.57,0.03,0.02,1458.0,5625.0,1.01
beta_id[640],-1.05,0.8,-2.56,0.43,0.01,0.01,3469.0,11998.0,1.0
beta_id[641],5.84,1.35,3.27,8.35,0.04,0.02,1455.0,2380.0,1.01
beta_id[642],4.25,0.79,2.8,5.77,0.01,0.01,3427.0,11621.0,1.01
beta_id[643],0.18,0.79,-1.31,1.66,0.01,0.01,3392.0,11065.0,1.0
beta_id[644],5.92,1.32,3.43,8.4,0.04,0.02,1458.0,2686.0,1.01
beta_id[645],-0.75,0.8,-2.27,0.74,0.01,0.01,3678.0,11804.0,1.0
beta_id[646],0.62,0.81,-0.9,2.14,0.02,0.01,2922.0,8952.0,1.01
beta_id[647],2.72,0.82,1.15,4.23,0.02,0.01,2763.0,8301.0,1.01
beta_id[648],-0.74,0.81,-2.27,0.8,0.02,0.01,2790.0,9521.0,1.01
beta_id[649],-0.56,0.82,-2.08,0.99,0.02,0.01,2815.0,8812.0,1.01
beta_id[650],0.92,0.8,-0.56,2.44,0.01,0.01,3409.0,10643.0,1.0
beta_id[651],-3.47,1.49,-6.31,-0.73,0.04,0.03,1355.0,2339.0,1.01
beta_id[652],-0.74,0.8,-2.24,0.78,0.02,0.01,2926.0,8419.0,1.01
beta_id[653],-1.41,0.8,-2.93,0.06,0.01,0.01,3169.0,9298.0,1.01
beta_id[654],-0.58,0.83,-2.17,0.95,0.02,0.01,2630.0,8072.0,1.01
beta_id[655],0.1,0.79,-1.38,1.6,0.01,0.01,3207.0,9688.0,1.01
beta_id[656],-4.77,1.05,-6.72,-2.79,0.03,0.02,1616.0,5204.0,1.01
beta_id[657],-1.21,0.79,-2.7,0.27,0.01,0.01,3443.0,11925.0,1.0
beta_id[658],-0.32,0.83,-1.89,1.23,0.02,0.01,2711.0,7577.0,1.01
beta_id[659],-7.17,1.02,-9.08,-5.24,0.02,0.02,1616.0,6012.0,1.0
beta_id[660],-0.72,0.8,-2.26,0.74,0.02,0.01,3011.0,9584.0,1.01
beta_id[661],1.41,0.82,-0.14,2.95,0.02,0.01,3201.0,10090.0,1.01
beta_id[662],1.91,1.29,-0.58,4.29,0.04,0.03,1169.0,3750.0,1.01
beta_id[663],0.57,0.82,-0.97,2.11,0.02,0.01,2884.0,8765.0,1.01
beta_id[664],-1.7,0.8,-3.19,-0.19,0.01,0.01,3642.0,11055.0,1.0
beta_id[665],-5.17,1.16,-7.33,-2.97,0.03,0.02,1626.0,3097.0,1.01
beta_id[666],1.11,0.79,-0.36,2.63,0.01,0.01,3388.0,9659.0,1.0
beta_id[667],-0.13,0.79,-1.58,1.38,0.01,0.01,3259.0,10296.0,1.01
beta_id[668],1.74,0.78,0.27,3.22,0.01,0.01,3536.0,10541.0,1.0
beta_id[669],5.99,0.81,4.45,7.5,0.01,0.01,3515.0,12173.0,1.0
beta_id[670],-2.11,0.79,-3.61,-0.64,0.01,0.01,3561.0,10834.0,1.0
beta_id[671],-1.38,1.19,-3.69,0.81,0.03,0.02,1563.0,2804.0,1.01
beta_id[672],-9.59,2.0,-13.34,-5.83,0.06,0.04,1216.0,2045.0,1.02
beta_id[673],-0.62,0.82,-2.17,0.9,0.02,0.01,2797.0,9512.0,1.01
beta_id[674],3.25,0.79,1.74,4.71,0.01,0.01,3458.0,9666.0,1.01
beta_id[675],0.56,0.8,-0.92,2.11,0.01,0.01,3137.0,9732.0,1.01
beta_id[676],2.78,0.82,1.24,4.33,0.02,0.01,2614.0,8887.0,1.01
beta_id[677],-5.85,1.03,-7.75,-3.86,0.02,0.02,1673.0,5822.0,1.01
beta_id[678],-0.34,0.79,-1.84,1.12,0.01,0.01,3583.0,11064.0,1.0
beta_id[679],1.83,0.8,0.31,3.33,0.01,0.01,3543.0,11330.0,1.0
beta_id[680],0.0,0.8,-1.48,1.53,0.01,0.01,3183.0,10210.0,1.01
beta_id[681],0.79,0.79,-0.72,2.24,0.01,0.01,3669.0,12456.0,1.0
beta_id[682],5.17,0.83,3.58,6.69,0.02,0.01,2654.0,9383.0,1.01
beta_id[683],-8.36,1.02,-10.27,-6.45,0.02,0.02,1617.0,6317.0,1.01
beta_id[684],0.25,0.81,-1.27,1.78,0.02,0.01,2881.0,8745.0,1.01
beta_id[685],0.96,0.81,-0.57,2.48,0.02,0.01,2755.0,7994.0,1.01
beta_id[686],1.26,0.8,-0.26,2.76,0.02,0.01,3053.0,9009.0,1.01
beta_id[687],-1.3,0.79,-2.78,0.18,0.01,0.01,3664.0,11415.0,1.0
beta_id[688],-1.56,0.8,-3.08,-0.07,0.01,0.01,3481.0,11791.0,1.0
beta_id[689],2.83,0.8,1.34,4.35,0.02,0.01,2965.0,9022.0,1.01
beta_id[690],-0.03,0.79,-1.52,1.45,0.01,0.01,3450.0,10800.0,1.01
beta_id[691],0.22,1.2,-1.97,2.52,0.03,0.02,1238.0,4492.0,1.01
beta_id[692],2.31,0.83,0.77,3.88,0.02,0.01,3222.0,10190.0,1.0
beta_id[693],1.56,0.8,0.07,3.06,0.01,0.01,3335.0,9682.0,1.0
beta_id[694],-5.97,1.08,-7.99,-3.93,0.03,0.02,1634.0,4842.0,1.01
beta_id[695],-0.43,0.8,-1.94,1.06,0.02,0.01,3035.0,8445.0,1.01
beta_id[696],-1.63,0.79,-3.12,-0.15,0.01,0.01,3240.0,10530.0,1.01
beta_id[697],0.02,0.82,-1.54,1.54,0.02,0.01,2671.0,8202.0,1.01
beta_id[698],-0.65,0.78,-2.12,0.82,0.01,0.01,3462.0,11469.0,1.0
beta_id[699],-0.59,0.78,-2.06,0.87,0.01,0.01,3583.0,11227.0,1.0
beta_id[700],7.04,1.02,5.13,8.98,0.02,0.02,1645.0,6106.0,1.01
beta_id[701],-0.3,0.81,-1.83,1.24,0.02,0.01,2879.0,9262.0,1.01
beta_id[702],-1.94,0.79,-3.4,-0.45,0.01,0.01,3552.0,10427.0,1.0
beta_id[703],-6.16,1.07,-8.13,-4.1,0.03,0.02,1630.0,5099.0,1.01
beta_id[704],-10.03,1.26,-12.41,-7.68,0.04,0.03,1179.0,4117.0,1.01
beta_id[705],-0.59,0.79,-2.03,0.92,0.01,0.01,3558.0,11081.0,1.0
beta_id[706],0.0,0.82,-1.52,1.53,0.02,0.01,2786.0,8564.0,1.01
beta_id[707],9.12,1.36,6.57,11.7,0.04,0.03,1164.0,3310.0,1.01
beta_id[708],12.33,0.88,10.64,13.96,0.02,0.01,2707.0,8087.0,1.01
beta_id[709],0.52,1.06,-1.46,2.51,0.03,0.02,1419.0,5430.0,1.01
beta_id[710],-0.96,0.79,-2.44,0.52,0.01,0.01,3146.0,10495.0,1.01
beta_id[711],-0.61,0.82,-2.12,0.95,0.02,0.01,2661.0,8201.0,1.01
beta_id[712],1.84,0.8,0.3,3.3,0.01,0.01,3575.0,11584.0,1.0
beta_id[713],11.95,1.38,9.31,14.51,0.04,0.03,1167.0,3320.0,1.01
beta_id[714],1.85,0.79,0.31,3.3,0.01,0.01,3293.0,11056.0,1.01
beta_id[715],0.35,0.81,-1.15,1.87,0.02,0.01,2931.0,8468.0,1.01
beta_id[716],-0.53,0.79,-2.04,0.92,0.01,0.01,3697.0,12127.0,1.0
beta_id[717],2.46,0.82,0.94,4.02,0.02,0.01,2722.0,7409.0,1.01
beta_id[718],-1.61,0.79,-3.11,-0.15,0.01,0.01,3557.0,11262.0,1.0
beta_id[719],-1.21,0.8,-2.74,0.28,0.01,0.01,3487.0,12198.0,1.0
beta_id[720],-4.63,1.03,-6.57,-2.7,0.02,0.02,1646.0,5471.0,1.01
beta_id[721],-0.71,0.82,-2.26,0.8,0.02,0.01,2750.0,9338.0,1.01
beta_id[722],0.55,0.83,-1.0,2.11,0.02,0.01,3037.0,9777.0,1.01
beta_id[723],2.12,0.79,0.63,3.6,0.01,0.01,3281.0,10210.0,1.01
beta_id[724],-0.61,0.79,-2.12,0.87,0.01,0.01,3272.0,11085.0,1.01
beta_id[725],0.04,0.86,-1.56,1.67,0.02,0.01,2859.0,8400.0,1.01
beta_id[726],-0.35,0.88,-1.97,1.32,0.02,0.01,2590.0,7708.0,1.01
beta_id[727],2.66,0.79,1.15,4.11,0.01,0.01,3479.0,12143.0,1.0
beta_id[728],1.04,0.81,-0.5,2.55,0.02,0.01,2768.0,8860.0,1.01
beta_id[729],-0.42,0.79,-1.89,1.08,0.01,0.01,3295.0,11376.0,1.0
beta_id[730],-9.78,2.0,-13.57,-6.07,0.06,0.04,1208.0,1964.0,1.02
beta_id[731],0.48,0.81,-1.05,2.0,0.02,0.01,3010.0,9220.0,1.01
beta_id[732],-0.16,0.8,-1.61,1.38,0.01,0.01,3189.0,9439.0,1.01
beta_id[733],0.34,0.82,-1.19,1.92,0.02,0.01,2716.0,8241.0,1.01
beta_id[734],0.04,0.79,-1.42,1.56,0.01,0.01,3204.0,9386.0,1.0
beta_id[735],1.58,0.82,0.03,3.15,0.02,0.01,2607.0,8422.0,1.01
beta_id[736],-0.6,0.81,-2.12,0.92,0.02,0.01,2873.0,8263.0,1.01
beta_id[737],3.91,1.02,1.98,5.83,0.02,0.02,1637.0,6096.0,1.01
beta_id[738],0.44,0.93,-1.35,2.17,0.02,0.01,2302.0,5939.0,1.01
beta_id[739],-3.3,0.84,-4.85,-1.69,0.02,0.01,2992.0,9106.0,1.01
beta_id[740],-0.96,0.8,-2.45,0.55,0.01,0.01,3142.0,9506.0,1.01
beta_id[741],-1.16,0.78,-2.67,0.27,0.01,0.01,3607.0,12483.0,1.0
beta_id[742],0.61,0.82,-0.94,2.13,0.02,0.01,2734.0,8502.0,1.01
beta_id[743],-0.79,0.82,-2.32,0.76,0.02,0.01,2640.0,8371.0,1.01
beta_id[744],-0.3,0.81,-1.81,1.25,0.02,0.01,2921.0,8913.0,1.01
beta_id[745],1.33,0.79,-0.18,2.8,0.01,0.01,3290.0,10569.0,1.01
beta_id[746],1.45,0.79,-0.06,2.93,0.01,0.01,3240.0,10415.0,1.01
beta_id[747],-0.0,0.82,-1.53,1.56,0.02,0.01,2553.0,7871.0,1.01
beta_id[748],-1.01,0.81,-2.5,0.54,0.02,0.01,2876.0,8333.0,1.01
beta_id[749],-0.28,0.8,-1.8,1.22,0.02,0.01,2965.0,8844.0,1.01
beta_id[750],-0.48,0.81,-1.97,1.06,0.02,0.01,2908.0,8541.0,1.01
beta_id[751],-5.96,1.04,-7.91,-4.0,0.03,0.02,1650.0,5454.0,1.01
beta_id[752],-1.69,0.79,-3.19,-0.23,0.01,0.01,3752.0,13080.0,1.0
beta_id[753],9.14,1.03,7.21,11.06,0.02,0.02,1639.0,5938.0,1.01
beta_id[754],1.25,1.04,-0.71,3.2,0.02,0.02,1667.0,5680.0,1.01
beta_id[755],-0.13,0.79,-1.58,1.37,0.01,0.01,3477.0,10266.0,1.0
beta_id[756],-1.26,0.79,-2.72,0.24,0.01,0.01,3194.0,9700.0,1.01
beta_id[757],-2.66,1.04,-4.6,-0.68,0.02,0.02,1890.0,4090.0,1.01
beta_id[758],-0.02,0.83,-1.6,1.54,0.02,0.01,2698.0,8094.0,1.01
beta_id[759],-4.72,1.07,-6.71,-2.69,0.03,0.02,1635.0,5068.0,1.01
beta_id[760],2.62,0.79,1.11,4.09,0.01,0.01,3184.0,10217.0,1.01
beta_id[761],1.59,1.0,-0.29,3.46,0.02,0.02,2004.0,4311.0,1.01
beta_id[762],7.36,1.03,5.42,9.29,0.03,0.02,1630.0,5853.0,1.01
beta_id[763],8.57,1.04,6.62,10.53,0.03,0.02,1529.0,6037.0,1.01
beta_id[764],-2.73,0.82,-4.24,-1.17,0.01,0.01,3274.0,9981.0,1.0
beta_id[765],-0.72,0.79,-2.2,0.76,0.01,0.01,3352.0,10247.0,1.0
beta_id[766],-1.1,0.8,-2.61,0.4,0.02,0.01,2877.0,9235.0,1.01
beta_id[767],-0.29,0.8,-1.79,1.23,0.01,0.01,3182.0,10189.0,1.01
beta_id[768],-1.52,1.04,-3.49,0.45,0.02,0.02,1892.0,3895.0,1.01
beta_id[769],-0.28,0.78,-1.76,1.19,0.01,0.01,3520.0,12715.0,1.0
beta_id[770],-0.51,0.81,-2.04,0.98,0.02,0.01,2990.0,9763.0,1.01
beta_id[771],0.01,0.81,-1.5,1.52,0.02,0.01,2876.0,9479.0,1.01
beta_id[772],-2.29,1.18,-4.52,-0.07,0.03,0.02,1583.0,2979.0,1.01
beta_id[773],-2.74,0.81,-4.27,-1.22,0.01,0.01,3177.0,10269.0,1.01
beta_id[774],-3.44,0.83,-5.01,-1.89,0.02,0.01,3120.0,9967.0,1.01
beta_id[775],1.95,0.79,0.46,3.43,0.01,0.01,3212.0,10528.0,1.01
beta_id[776],-6.37,1.02,-8.29,-4.46,0.02,0.02,1602.0,6364.0,1.0
beta_id[777],-0.79,0.82,-2.32,0.75,0.02,0.01,2823.0,8562.0,1.01
beta_id[778],5.91,0.83,4.41,7.52,0.01,0.01,3290.0,10929.0,1.0
beta_id[779],-0.73,0.78,-2.18,0.75,0.01,0.01,3580.0,12511.0,1.0
beta_id[780],-5.03,1.06,-6.99,-3.0,0.03,0.02,1669.0,5204.0,1.01
beta_id[781],1.43,0.8,-0.07,2.94,0.01,0.01,3248.0,10444.0,1.01
beta_id[782],1.23,0.78,-0.27,2.67,0.01,0.01,3480.0,10763.0,1.0
beta_id[783],-4.6,1.25,-7.0,-2.32,0.03,0.02,1527.0,2884.0,1.01
beta_id[784],0.1,0.82,-1.43,1.65,0.02,0.01,2643.0,8365.0,1.01
beta_id[785],-4.0,1.08,-6.02,-1.99,0.03,0.02,1615.0,4404.0,1.01
beta_id[786],-0.06,0.81,-1.55,1.48,0.02,0.01,2912.0,9149.0,1.01
beta_id[787],-1.23,0.79,-2.7,0.25,0.01,0.01,3689.0,11978.0,1.0
beta_id[788],-0.92,0.81,-2.42,0.63,0.02,0.01,2877.0,8700.0,1.01
beta_id[789],-1.07,0.82,-2.56,0.5,0.02,0.01,2799.0,10045.0,1.01
beta_id[790],-3.51,1.03,-5.43,-1.58,0.03,0.02,1509.0,6219.0,1.01
beta_id[791],-1.46,0.8,-2.98,0.01,0.01,0.01,3040.0,9046.0,1.01
beta_id[792],3.7,1.03,1.74,5.6,0.03,0.02,1495.0,5602.0,1.01
beta_id[793],0.63,0.8,-0.89,2.11,0.01,0.01,3100.0,9868.0,1.01
beta_id[794],-2.07,0.79,-3.52,-0.56,0.01,0.01,3622.0,12076.0,1.0
beta_id[795],0.2,0.82,-1.33,1.76,0.02,0.01,2628.0,8002.0,1.01
beta_id[796],6.04,1.04,4.07,7.98,0.03,0.02,1650.0,5773.0,1.01
beta_id[797],-1.97,0.79,-3.46,-0.48,0.01,0.01,3600.0,11381.0,1.0
beta_id[798],3.85,0.81,2.33,5.35,0.01,0.01,3531.0,12121.0,1.0
beta_id[799],-1.31,1.08,-3.35,0.7,0.03,0.02,1645.0,5348.0,1.01
beta_id[800],-0.8,0.8,-2.3,0.68,0.01,0.01,3304.0,10604.0,1.01
beta_id[801],-1.47,0.8,-2.98,0.02,0.01,0.01,3079.0,10167.0,1.01
beta_id[802],-1.52,0.79,-3.01,-0.02,0.01,0.01,3220.0,9696.0,1.01
beta_id[803],-0.95,0.83,-2.51,0.62,0.02,0.01,3046.0,9442.0,1.01
beta_id[804],-0.29,1.02,-2.19,1.65,0.02,0.02,1663.0,5951.0,1.01
beta_id[805],-1.07,0.81,-2.57,0.45,0.02,0.01,2997.0,9339.0,1.01
beta_id[806],0.23,0.81,-1.31,1.73,0.02,0.01,2838.0,9171.0,1.01
beta_id[807],-0.84,0.97,-2.71,0.94,0.02,0.02,2126.0,5226.0,1.01
beta_id[808],-1.31,0.8,-2.84,0.19,0.01,0.01,3546.0,11912.0,1.0
beta_id[809],3.61,0.82,2.06,5.14,0.01,0.01,3350.0,11474.0,1.0
beta_id[810],-0.77,0.92,-2.52,0.93,0.02,0.01,2326.0,5940.0,1.01
beta_id[811],-6.41,1.03,-8.3,-4.45,0.02,0.02,1648.0,5842.0,1.01
beta_id[812],2.04,0.79,0.58,3.54,0.01,0.01,3289.0,9961.0,1.01
beta_id[813],0.62,0.78,-0.86,2.09,0.01,0.01,3667.0,11986.0,1.0
beta_id[814],-0.32,0.82,-1.85,1.23,0.02,0.01,2833.0,9559.0,1.01
beta_id[815],-2.81,1.04,-4.74,-0.84,0.03,0.02,1603.0,5716.0,1.01
beta_id[816],-1.62,0.78,-3.1,-0.14,0.01,0.01,3648.0,11755.0,1.0
beta_id[817],-1.29,0.8,-2.75,0.23,0.01,0.01,3313.0,10632.0,1.0
beta_id[818],-3.52,0.83,-5.06,-1.94,0.02,0.01,3160.0,9517.0,1.0
beta_id[819],-0.78,0.82,-2.31,0.78,0.02,0.01,2759.0,8918.0,1.01
beta_id[820],-0.68,0.81,-2.16,0.88,0.02,0.01,2939.0,9046.0,1.01
beta_id[821],-6.61,1.42,-9.29,-3.94,0.04,0.03,1417.0,2519.0,1.01
beta_id[822],-1.04,0.79,-2.55,0.44,0.01,0.01,3186.0,9736.0,1.01
beta_id[823],19.54,1.05,17.59,21.52,0.03,0.02,1564.0,5928.0,1.01
beta_id[824],24.72,1.49,21.88,27.49,0.04,0.03,1201.0,3133.0,1.01
beta_id[825],3.54,0.79,2.03,4.99,0.01,0.01,3755.0,11915.0,1.0
beta_id[826],-0.5,0.79,-2.03,0.96,0.01,0.01,3059.0,9573.0,1.01
beta_id[827],-3.4,1.16,-5.6,-1.22,0.03,0.02,1257.0,4655.0,1.01
beta_id[828],0.27,0.82,-1.27,1.82,0.02,0.01,3108.0,10167.0,1.01
beta_id[829],-1.79,0.78,-3.27,-0.32,0.01,0.01,3632.0,11842.0,1.0
beta_id[830],1.04,1.3,-1.45,3.45,0.04,0.03,1175.0,3566.0,1.01
beta_id[831],4.91,1.05,2.95,6.89,0.03,0.02,1437.0,5425.0,1.01
beta_id[832],-0.03,0.82,-1.6,1.48,0.02,0.01,2773.0,8799.0,1.01
beta_id[833],0.16,0.85,-1.43,1.75,0.02,0.01,2854.0,8469.0,1.01
beta_id[834],1.13,0.79,-0.36,2.6,0.01,0.01,3661.0,12464.0,1.0
beta_id[835],-7.92,1.03,-9.8,-5.96,0.02,0.02,1667.0,5760.0,1.01
beta_id[836],0.32,0.8,-1.14,1.88,0.02,0.01,3027.0,8573.0,1.01
beta_id[837],0.23,0.82,-1.3,1.77,0.02,0.01,2720.0,9151.0,1.01
beta_id[838],-0.68,0.81,-2.17,0.86,0.02,0.01,2875.0,8402.0,1.01
beta_id[839],3.82,0.83,2.28,5.4,0.02,0.01,2631.0,8071.0,1.01
beta_id[840],-2.98,1.02,-4.9,-1.07,0.02,0.02,1657.0,5984.0,1.01
beta_id[841],-0.6,0.82,-2.15,0.94,0.02,0.01,2795.0,9066.0,1.01
beta_id[842],1.91,1.96,-1.82,5.56,0.06,0.04,1123.0,2300.0,1.02
beta_id[843],15.17,1.1,13.09,17.2,0.03,0.02,1383.0,5626.0,1.01
beta_id[844],0.93,0.79,-0.55,2.43,0.01,0.01,3179.0,9105.0,1.01
beta_id[845],-0.09,0.82,-1.68,1.43,0.02,0.01,2529.0,8329.0,1.01
beta_id[846],12.85,1.05,10.83,14.76,0.03,0.02,1687.0,5670.0,1.01
beta_id[847],-5.54,1.02,-7.39,-3.55,0.02,0.02,1648.0,6465.0,1.01
beta_id[848],0.68,0.83,-0.84,2.27,0.02,0.01,2667.0,7940.0,1.01
beta_id[849],0.47,0.81,-1.05,2.02,0.02,0.01,2852.0,7735.0,1.01
beta_id[850],-2.07,0.83,-3.62,-0.5,0.02,0.01,3016.0,9596.0,1.01
beta_id[851],13.84,1.04,11.88,15.8,0.03,0.02,1657.0,5316.0,1.01
beta_id[852],8.44,1.09,6.39,10.49,0.03,0.02,1373.0,5563.0,1.01
beta_id[853],1.17,0.8,-0.32,2.68,0.01,0.01,3116.0,10024.0,1.01
beta_id[854],-0.4,0.79,-1.88,1.07,0.01,0.01,3589.0,10634.0,1.0
beta_id[855],1.24,1.02,-0.61,3.21,0.03,0.02,1590.0,6099.0,1.01
beta_id[856],-6.47,1.07,-8.52,-4.48,0.03,0.02,1609.0,5101.0,1.01
beta_id[857],-0.92,0.82,-2.48,0.6,0.02,0.01,2694.0,8509.0,1.01
beta_id[858],0.5,0.83,-1.03,2.07,0.02,0.01,2596.0,8123.0,1.01
beta_id[859],-2.37,0.86,-3.95,-0.74,0.02,0.01,2762.0,8109.0,1.01
beta_id[860],-3.75,0.87,-5.4,-2.16,0.02,0.01,2783.0,7866.0,1.01
beta_id[861],-1.62,0.79,-3.13,-0.18,0.01,0.01,3284.0,9630.0,1.01
beta_id[862],14.62,1.03,12.66,16.54,0.02,0.02,1676.0,6179.0,1.0
beta_id[863],16.69,1.03,14.71,18.6,0.03,0.02,1636.0,6008.0,1.01
beta_id[864],-0.14,0.8,-1.63,1.38,0.02,0.01,3051.0,9027.0,1.01
beta_id[865],-5.03,1.03,-6.98,-3.11,0.03,0.02,1571.0,6412.0,1.0
beta_id[866],-0.27,0.78,-1.73,1.22,0.01,0.01,3562.0,11479.0,1.0
beta_id[867],-1.07,0.79,-2.58,0.39,0.01,0.01,3302.0,10993.0,1.01
beta_id[868],0.81,1.31,-1.65,3.3,0.04,0.03,1166.0,3508.0,1.01
beta_id[869],8.98,1.05,7.03,10.98,0.03,0.02,1636.0,5056.0,1.01
beta_id[870],7.63,1.02,5.67,9.51,0.03,0.02,1610.0,5976.0,1.0
beta_id[871],-0.39,0.81,-1.91,1.12,0.02,0.01,3098.0,9439.0,1.01
beta_id[872],-0.38,0.82,-1.92,1.17,0.02,0.01,2749.0,8475.0,1.01
beta_id[873],-0.81,0.81,-2.34,0.69,0.02,0.01,2992.0,8585.0,1.01
beta_id[874],-0.04,1.03,-1.95,1.92,0.02,0.02,1631.0,5815.0,1.01
beta_id[875],-0.36,0.82,-1.93,1.18,0.02,0.01,2616.0,8229.0,1.01
beta_id[876],-1.3,0.8,-2.78,0.21,0.01,0.01,3220.0,9619.0,1.01
beta_id[877],-4.45,1.09,-6.49,-2.42,0.03,0.02,1652.0,4543.0,1.01
beta_id[878],3.19,1.2,0.93,5.44,0.03,0.02,1220.0,4125.0,1.01
beta_id[879],-1.17,0.79,-2.64,0.33,0.01,0.01,3356.0,10260.0,1.0
beta_id[880],-0.71,0.8,-2.24,0.78,0.02,0.01,2942.0,9356.0,1.01
beta_id[881],-0.07,0.8,-1.55,1.44,0.01,0.01,3166.0,8890.0,1.01
beta_id[882],-0.34,0.83,-1.87,1.23,0.02,0.01,3195.0,10592.0,1.01
beta_id[883],-4.38,1.04,-6.35,-2.41,0.03,0.02,1652.0,4819.0,1.01
beta_id[884],1.28,0.81,-0.23,2.8,0.02,0.01,2930.0,9114.0,1.01
beta_id[885],-1.43,0.8,-2.92,0.08,0.02,0.01,3036.0,10513.0,1.01
beta_id[886],0.32,0.79,-1.17,1.81,0.01,0.01,3638.0,12343.0,1.0
beta_id[887],0.87,1.26,-1.54,3.19,0.04,0.03,1175.0,3872.0,1.01
beta_id[888],-0.71,0.78,-2.18,0.76,0.01,0.01,3508.0,11293.0,1.01
beta_id[889],7.82,1.04,5.82,9.74,0.03,0.02,1659.0,5170.0,1.01
beta_id[890],-0.13,0.8,-1.63,1.37,0.01,0.01,3163.0,9198.0,1.01
beta_id[891],-5.93,1.08,-7.96,-3.91,0.03,0.02,1613.0,4966.0,1.01
beta_id[892],-0.85,0.79,-2.32,0.65,0.01,0.01,3625.0,11209.0,1.0
beta_id[893],-0.48,0.8,-1.99,1.01,0.01,0.01,3364.0,9201.0,1.0
beta_id[894],-0.14,0.82,-1.67,1.43,0.02,0.01,2667.0,8873.0,1.01
beta_id[895],0.44,0.79,-1.02,1.93,0.01,0.01,3601.0,12358.0,1.0
beta_id[896],2.99,0.82,1.47,4.54,0.01,0.01,3256.0,10624.0,1.0
beta_id[897],1.16,0.78,-0.32,2.62,0.01,0.01,3432.0,11778.0,1.01
beta_id[898],-0.76,0.8,-2.24,0.78,0.01,0.01,3113.0,9152.0,1.01
beta_id[899],-0.62,0.81,-2.1,0.93,0.02,0.01,2834.0,8833.0,1.01
beta_id[900],-1.24,0.81,-2.79,0.25,0.02,0.01,2988.0,8907.0,1.01
beta_id[901],-1.92,0.79,-3.38,-0.4,0.01,0.01,3449.0,11786.0,1.0
beta_id[902],0.45,0.8,-1.06,1.93,0.01,0.01,3216.0,9999.0,1.01
beta_id[903],-0.74,0.78,-2.2,0.74,0.01,0.01,3540.0,10853.0,1.0
beta_id[904],-0.61,0.82,-2.12,0.94,0.02,0.01,2770.0,8594.0,1.01
beta_id[905],0.0,0.8,-1.49,1.5,0.01,0.01,3096.0,9042.0,1.01
beta_id[906],0.69,0.8,-0.83,2.18,0.02,0.01,2973.0,10003.0,1.01
beta_id[907],0.45,0.96,-1.33,2.28,0.02,0.02,2178.0,5145.0,1.01
beta_id[908],-0.28,0.82,-1.81,1.27,0.02,0.01,2695.0,8076.0,1.01
beta_id[909],3.72,0.89,2.01,5.38,0.02,0.01,2496.0,7312.0,1.01
beta_id[910],-0.23,0.81,-1.73,1.3,0.02,0.01,3010.0,9060.0,1.01
beta_id[911],4.39,0.8,2.91,5.88,0.01,0.01,3672.0,12612.0,1.0
beta_id[912],1.51,0.83,-0.05,3.04,0.02,0.01,2644.0,7981.0,1.01
beta_id[913],-4.44,0.96,-6.28,-2.66,0.02,0.02,2115.0,5320.0,1.01
beta_id[914],0.15,0.81,-1.36,1.66,0.02,0.01,2940.0,8907.0,1.01
beta_id[915],0.29,0.79,-1.18,1.81,0.01,0.01,3204.0,10525.0,1.01
beta_id[916],0.82,0.79,-0.7,2.28,0.01,0.01,3776.0,11643.0,1.0
beta_id[917],-0.17,0.82,-1.71,1.35,0.02,0.01,2726.0,8714.0,1.01
